idstatefrom,idaction,idstateto,probability,reward
0,0,0,1,0
0,1,0,1,-1.4900000000000002
0,2,0,1,0.009999999999999787
0,3,0,1,1.5099999999999998
0,4,0,1,3.01
0,5,0,1,4.510000000000002
0,6,0,0.9689883696423216,6.0100000000000025
0,6,1,0.031011630357678368,1.990000000000003
0,7,0,0.9223020185230275,7.509999999999998
0,7,1,0.046686351119294145,3.4899999999999998
0,7,2,0.031011630357678368,-0.5299999999999989
0,8,0,0.8570739666166787,9.009999999999998
0,8,1,0.06522805190634878,4.989999999999996
0,8,2,0.046686351119294145,0.9699999999999975
0,8,3,0.031011630357678368,-3.0500000000000007
0,9,0,0.7724958466486253,10.509999999999998
0,9,1,0.08457811996805342,6.489999999999996
0,9,2,0.06522805190634878,2.469999999999994
0,9,3,0.046686351119294145,-1.5500000000000045
0,9,4,0.031011630357678368,-5.570000000000003
0,10,0,0.6707162350127763,12.010000000000005
0,10,1,0.1017796116358489,7.990000000000003
0,10,2,0.08457811996805342,3.970000000000001
0,10,3,0.06522805190634878,-0.05000000000000085
0,10,4,0.046686351119294145,-4.069999999999999
0,10,5,0.031011630357678368,-8.089999999999996
0,11,0,0.5570470635350094,13.509999999999998
0,11,1,0.11366917147776692,9.490000000000004
0,11,2,0.1017796116358489,5.4700000000000015
0,11,3,0.08457811996805342,1.449999999999999
0,11,4,0.06522805190634878,-2.570000000000003
0,11,5,0.046686351119294145,-6.590000000000002
0,11,6,0.031011630357678368,-10.61
0,12,0,0.43923120765625767,15.009999999999998
0,12,1,0.11781585587875179,10.989999999999997
0,12,2,0.11366917147776692,6.9700000000000015
0,12,3,0.1017796116358489,2.9499999999999993
0,12,4,0.08457811996805342,-1.070000000000003
0,12,5,0.06522805190634878,-5.090000000000005
0,12,6,0.046686351119294145,-9.110000000000003
0,12,7,0.031011630357678368,-13.130000000000003
0,13,0,0.32590145691029593,16.509999999999998
0,13,1,0.1133297507459617,12.489999999999997
0,13,2,0.11781585587875179,8.469999999999994
0,13,3,0.11366917147776692,4.449999999999999
0,13,4,0.1017796116358489,0.42999999999999716
0,13,5,0.08457811996805342,-3.5900000000000047
0,13,6,0.06522805190634878,-7.6100000000000065
0,13,7,0.046686351119294145,-11.630000000000006
0,13,8,0.031011630357678368,-15.650000000000004
0,14,0,0.22472877381586895,18.009999999999998
0,14,1,0.10117268309442701,13.990000000000004
0,14,2,0.1133297507459617,9.97
0,14,3,0.11781585587875179,5.949999999999998
0,14,4,0.11366917147776692,1.9300000000000042
0,14,5,0.1017796116358489,-2.0899999999999976
0,14,6,0.08457811996805342,-6.11
0,14,7,0.06522805190634878,-10.130000000000003
0,14,8,0.046686351119294145,-14.150000000000002
0,14,9,0.031011630357678368,-18.169999999999998
0,15,0,0.14090605472839474,19.509999999999998
0,15,1,0.0838227190874742,15.489999999999997
0,15,2,0.10117268309442701,11.47
0,15,3,0.1133297507459617,7.45
0,15,4,0.11781585587875179,3.429999999999997
0,15,5,0.11366917147776692,-0.5899999999999977
0,15,6,0.1017796116358489,-4.609999999999999
0,15,7,0.08457811996805342,-8.630000000000003
0,15,8,0.06522805190634878,-12.650000000000004
0,15,9,0.046686351119294145,-16.67
0,15,10,0.031011630357678368,-20.689999999999998
0,16,0,0.07645361453073049,21.009999999999998
0,16,1,0.06445244019766425,16.989999999999995
0,16,2,0.0838227190874742,12.969999999999994
0,16,3,0.10117268309442701,8.95
0,16,4,0.1133297507459617,4.929999999999998
0,16,5,0.11781585587875179,0.9099999999999951
0,16,6,0.11366917147776692,-3.11
0,16,7,0.1017796116358489,-7.130000000000002
0,16,8,0.08457811996805342,-11.150000000000004
0,16,9,0.06522805190634878,-15.170000000000005
0,16,10,0.046686351119294145,-19.190000000000005
0,16,11,0.031011630357678368,-23.21
0,17,0,0.03046014970358628,22.50999999999999
0,17,1,0.04599346482714422,18.489999999999995
0,17,2,0.06445244019766425,14.469999999999994
0,17,3,0.0838227190874742,10.449999999999992
0,17,4,0.10117268309442701,6.429999999999997
0,17,5,0.1133297507459617,2.4099999999999953
0,17,6,0.11781585587875179,-1.6100000000000068
0,17,7,0.11366917147776692,-5.630000000000002
0,17,8,0.1017796116358489,-9.650000000000004
0,17,9,0.08457811996805342,-13.670000000000007
0,17,10,0.06522805190634878,-17.69000000000001
0,17,11,0.046686351119294145,-21.71
0,17,12,0.031011630357678368,-25.730000000000004
0,18,1,0.03046014970358628,19.989999999999988
0,18,2,0.04599346482714422,15.969999999999994
0,18,3,0.06445244019766425,11.949999999999992
0,18,4,0.0838227190874742,7.92999999999999
0,18,5,0.10117268309442701,3.9099999999999953
0,18,6,0.1133297507459617,-0.11000000000000681
0,18,7,0.11781585587875179,-4.130000000000009
0,18,8,0.11366917147776692,-8.150000000000004
0,18,9,0.1017796116358489,-12.170000000000005
0,18,10,0.08457811996805342,-16.19000000000001
0,18,11,0.06522805190634878,-20.210000000000008
0,18,12,0.046686351119294145,-24.230000000000008
0,18,13,0.031011630357678368,-28.250000000000007
0,19,2,0.03046014970358628,17.469999999999995
0,19,3,0.04599346482714422,13.45
0,19,4,0.06445244019766425,9.429999999999998
0,19,5,0.0838227190874742,5.409999999999995
0,19,6,0.10117268309442701,1.3900000000000003
0,19,7,0.1133297507459617,-2.6300000000000017
0,19,8,0.11781585587875179,-6.650000000000004
0,19,9,0.11366917147776692,-10.669999999999998
0,19,10,0.1017796116358489,-14.690000000000001
0,19,11,0.08457811996805342,-18.71
0,19,12,0.06522805190634878,-22.730000000000004
0,19,13,0.046686351119294145,-26.750000000000004
0,19,14,0.031011630357678368,-30.770000000000003
0,20,3,0.03046014970358628,14.949999999999992
0,20,4,0.04599346482714422,10.929999999999998
0,20,5,0.06445244019766425,6.909999999999995
0,20,6,0.0838227190874742,2.889999999999993
0,20,7,0.10117268309442701,-1.1300000000000017
0,20,8,0.1133297507459617,-5.150000000000004
0,20,9,0.11781585587875179,-9.170000000000005
0,20,10,0.11366917147776692,-13.190000000000001
0,20,11,0.1017796116358489,-17.21
0,20,12,0.08457811996805342,-21.230000000000004
0,20,13,0.06522805190634878,-25.250000000000007
0,20,14,0.046686351119294145,-29.270000000000007
0,20,15,0.031011630357678368,-33.290000000000006
0,21,4,0.03046014970358628,12.42999999999999
0,21,5,0.04599346482714422,8.409999999999995
0,21,6,0.06445244019766425,4.3899999999999935
0,21,7,0.0838227190874742,0.3699999999999912
0,21,8,0.10117268309442701,-3.6500000000000035
0,21,9,0.1133297507459617,-7.670000000000006
0,21,10,0.11781585587875179,-11.690000000000008
0,21,11,0.11366917147776692,-15.710000000000003
0,21,12,0.1017796116358489,-19.730000000000004
0,21,13,0.08457811996805342,-23.75000000000001
0,21,14,0.06522805190634878,-27.77000000000001
0,21,15,0.046686351119294145,-31.790000000000006
0,21,16,0.031011630357678368,-35.81
0,22,5,0.03046014970358628,9.909999999999995
0,22,6,0.04599346482714422,5.890000000000001
0,22,7,0.06445244019766425,1.8699999999999983
0,22,8,0.0838227190874742,-2.150000000000004
0,22,9,0.10117268309442701,-6.169999999999998
0,22,10,0.1133297507459617,-10.190000000000001
0,22,11,0.11781585587875179,-14.21
0,22,12,0.11366917147776692,-18.229999999999993
0,22,13,0.1017796116358489,-22.25
0,22,14,0.08457811996805342,-26.270000000000003
0,22,15,0.06522805190634878,-30.290000000000003
0,22,16,0.046686351119294145,-34.309999999999995
0,22,17,0.031011630357678368,-38.33
0,23,6,0.03046014970358628,7.3899999999999935
0,23,7,0.04599346482714422,3.369999999999998
0,23,8,0.06445244019766425,-0.6500000000000037
0,23,9,0.0838227190874742,-4.670000000000005
